,title,address.street-address,name,address,distance
0,Almacenes Rodríguez,Calle CABALLERO DE GRACIA 3,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,184.81762085162896
1,Antigua Fábrica Martini &amp; Rossi,AVENIDA ARAGON 328,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6657.002167177619
2,Ateneo de Madrid,Calle PRADO 21,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,283.4923608123022
3,Banco Bilbao Vizcaya Argentaria,Calle ALCALÁ 16,28 - Sevilla,Calle Alcalá nº 27,154.8084456247344
4,Banco de España,Calle ALCALÁ 48,20a - Banco de España A,Calle Alcalá nº 49,136.07070061686258
5,Banco Matritense,Calle GRAN VIA 22,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,95.22204590331884
6,Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,35 - Plaza del Cordón,Plaza del Cordón,74.4204023803136
7,Biblioteca Central de la UNED Madrid,CALLE SENDA DEL REY 8,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,733.4869567996362
8,Biblioteca Pública Usera José Hierro,AVENIDA RAFAELA YBARRA 43,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1405.991493085104
9,Bolsa de Madrid,PLAZA LEALTAD 1,86 - Cibeles,Plaza Cibeles,238.47198029323633
10,CaixaForum,PASEO PRADO 36,67 - Almadén,Calle Almadén nº 28,23.870310308041486
11,Capilla de San Isidro en la Iglesia de San Andrés,PLAZA SAN ANDRES 1,38 - Plaza de los Carros,Carrera de San Francisco nº 1,105.93382152474483
12,Casa Árabe (antiguas Escuelas Aguirre),CALLE ALCALA 62,96 - Castelló,Calle Alcalá nº 111,34.61058110227385
13,Casa de la Villa,PLAZA VILLA 5,35 - Plaza del Cordón,Plaza del Cordón,116.37222267560969
14,Casa de las Alhajas. Antigua Caja de Ahorros,PLAZA SAN MARTIN 1,25b - Plaza de Celenque B,Plaza de Celenque nº 1,117.15782577551286
